km,price
240000,3650
139800,3800
150500,4400
185530,4450
176000,5250
114800,5350
166800,5800
89000,5990
144500,5999
84000,6200
98000,6100
73000,6700
123000,5100
133000,5000
157000,4700
162000,4600
149000,4900
178000,4400
195000,4300
202000,4000
211000,3900
89000,6150
77000,6500
65000,6850
123500,5200
134000,4950
158000,4750
174000,4500
120000,5400
143000,5250
155000,4950
168000,4800
112000,5500
99000,5900
88000,6100
76000,6450
68000,6650
61000,6900
58000,7100
51000,7350
47000,7500
42000,7650
39000,7750
36000,7900
33000,8050
30000,8200
26000,8350
22000,8500
18000,8650
15000,8800
